Unnamed: 0,Ratings,Full_review,word_count,cleaned_length
10,5.0,slim book ram display aluminum chassis price would loved ryzen variant launched china launched either way still steal deal like this the issue provided another fan instead single fan system would good cuz live hot area the temp high deg second high load go deg immediately fan kick noise fan noticeable even high speed overall bank buck now thing left sale service long last first breakdown low sound speaker fixed selecting gaming mode dts app coming preinstalled laptop,150,78
11,5.0,received laptop earlier today got first flash sale bought highest specification available gb ram processor far observation share categorizing reference pro exceptional build quality this one unlike predecessor feel premium course heavy influence macbook design but complain love build machine beautiful display laptop give high resolution matt finish display the display price point nut not make consuming multimedia enjoyable experience productive using microsoft apps apps good thanks aspect ratio wfh breeze work lot spreadsheet aspect ratio help showing row column display high resolution help clarity see screen absolute win laptop also scrolling screen super smooth thanks refresh rate great key trackpad area the butterfly key good type large precision trackpad joy gb ram gb nvme ssd processor apps launch quick thanks fast nvme ssd you multiple chrome tab apps open thanks gb ram remember device meant hardcore gamers this laptop meant user use device lot office work need high processing power example work lot spreadsheet code lot chrome tab work database etc this laptop for task require high processing power get course game light one best also everyone youtubers graphic designer youtubers focus video editing apps photoshop etc but productivity mean hell lot laptop without dropping sweat great port selection you get couple usb port thunderbolt port connecting external device fast fingerprint reader window hello feature con very poor speaker those speaker mediocre good video call office call maybe watching video but that the speaker lack bass treble volume output tiny recommeded use earphone headphone consume medium jack good audio output keyboard layout this might personal preference find home end key right corner keyboard confusing already hit key multiple time instead enter key case home button instead delete key the trackpad click although gesture work great smooth navigation trackpad good click kind feel weird sound plasticy click sound annoying overall recommending laptop anyone want great home laptop compromise wfh setup well consumes lot medium kudos xiaomi bringing great device india,581,320
12,1.0,got delivered today build quality great display amazing performance also good only disappoinment sound low even mobile sound could louder this xiaomi definitely work this,40,25
13,5.0,look great super display quite fast far big disspointment charger charging ugliest legacy looking charger seen recent time can use usb type charger charge laptop this real bummer thunderbolt port also doesny charge laptop the webcam speaker also totally useless video call disspointing experience and free office home student get activated all support could redirect youtube video microsoft directly able work around error msg office home student associated account hope work others happy build quality display wifi fast port rest gimick unless miraculous software update fix speaker webcam charging option,154,90
14,5.0,pro great price value proposition similar spec laptop cost twice much established brand beautiful inch anti glare aspect ratio matte screen ratio help see line excel word document compared aspect ratio but seems suited viewing video since horizontal black bar top bottom screen elegant look full metallic body grey colour variant look stunning like affordable window macbook solid built flex laptop body thunderbolt port versatile connectivity connect monitor simultaneously thunderbolt port thunderbolt exclusive th gen intel core available yet amd ryzen series processor charge either thunderbolt port type port macro key used quick launch app like chrome drag drop app macro key input area battery charge indicator colour red charge le orange green charge percentage hz display resolution scrolling smooth key switch hz hz refresh rate core th gen processor breeze normal workload haven heard cooling fan kicking yet gb nvme ssd speedy launch programming ide like pycharm gb ram time free intel iris graphic tried game yet youtube video smooth wifi bluetooth reliable connectivity w usb type charger full charge min can use w mobile phone charger charge laptop fingerprint sensor power button combined good loud speaker enabling game mode inbuilt dts app turning equalizer lifetime validity office included get ready work excel power point etc without spending additional microsoft office software activation also easy giving personal email launcing office app first time soft relatively silent key good travel level backlight working night comfortable type long usable p camera zoom team call disable digital video stabilization setting camera app else delay video close hour battery backup full charge battery drain also reasonable normal workload battery stand good large trackpad good support gesture like gentle single tap left click gentle tap finger together double click remove need press click trackpad configure touchpad option better result good palm rejection comfortable edge typing keyboard hinge close smooth pleasant manner enough cushioning hassle free exchange amazon year old base model macbook air cost emi month what could improved make laptop even better w sonic charger slim profile provided instead rather uninspiring default legacy kind looking liteon company charger small size shift key right take time get used could normal size shift key dedicated card slot quickly transfer photo slr laptop have rely usb cable dedicated number key even though laptop inch one would better dedicated number key working excel voice capture using inbuilt microphone loudest use wired wireless headphone voice capture bit heavier side picking may due grade sandblasted aluminium used backlight stay go sometime inactivity renabled but seems option bios keep whole time selected default sound output speaker loud enough only game mode selected equalizer enabled inbuilt dts app sound output cross decibel,672,441
15,1.0,got laptop delivered today amazon looking extended warranty called com asked call oneassist get warranty they offered extended two year warranty plan purchased com along laptop called customer care reason given since purchased amazon partner can provide rate bought com why mentioned amazon website disclaimer felt really cheated expected amazon xiaomi,111,51
16,3.0,you cannot buy xiaomi extended warranty buy laptop amazon spoil overall buying experience you third party insurance cost much higher xiaomi offer however amazon provide exchange offer need warranty extension exchange amazon else buy xiaomi website,57,36
17,1.0,there charger box tried replace but response till now this time dispoinnted amazon,26,13
18,3.0,the hinge cud better open certain angle maybe unlike laptop battery heavy use additionally see charging limiter using keeping charge may degrade battery somehwat unlike laptop the default blue light filter night light set strange colour science rather stressful eye basically can use night light blue light filter day light use night light turned x acer swift nahh contrast warmer side guess need send update same,117,66
19,1.0,received laptop sep it build superb display far best but third day usage keyboard started malfunction somehow keyboard behaving shift key randomly press all trackpad function first malfunctioning sudden stopped working now thinking mistake placing trust xiaomi are giving cheap quality hardware packed high quality build hoping see quick resolution problem,95,51
20,1.0,pathetic quality keyboard failed within week stay away buy good brand,16,11
21,2.0,received unit faulty fingerprint power button battery working properly issue received unit using hour system got struck made noise work long time force shut opened happened two time two day purchase battery life show differently time give hr sometimes even battery fully charged green light indicated full charge almost kind workflow system suddenly crash right click sometimes choice force shutdown time opening system authentication ask fingerprint directly open thought quickly recognized fingerprint soon system opened restarting system also observed issue last build quality screen spec price point great need get good working unit,180,93
22,5.0,crafted light weight laptop top notch internals value money price range compared exclusive laptop brand,23,15
23,4.0,everything fine like thing touch pad not mark giving premium feel nice x w speaker low charger inside box xiaomi branded charger giving company charger named liteon brand rest everything fine,62,31
24,5.0,productivity main agenda window package really get better this the value laptop provides unmatched market especially display going leave breathless this pure window good hardware package xiaomi bloatware ad all thoroughly happy purchase,61,33
25,4.0,okay got ultra today display amazing advertised imho extremely sharp thanks p display color accurate saturated give realme phone camera vibe lol another example iphone prof higher resolution better display old pavilion x inch p mk m monitor inch ip lcd p lenovo l i monitor inch ip lcd p compare say color reproduction natural laptop and yeah worst lenovo rd nd best tested famous costa rica video green yellow snake poor almost feel like one bright green even looking long shot tree tell display saturated especially looking side side others difference could easily spotted tbh there need look side side either tell easily unless coming panel however everything else laptop great would loved ryzen okay considering intel iris gb ram combination task find useful rarely available quality life feature like battery life thunderbolt type charging scanner large track pad better average keyboard used mechanical can appreciate much restart take like sec max wake sleep instant excellent build although x good too awe ing hinge satisfying top notch only display reach expectation,304,172
26,5.0,pro great display great speed great metallic design great performance highly responsive fingerprint scanner typing feel marvelous battery backup satisfactorily upto hr cannot expect much price range con numeric keypad absent speaker facing hence feel much sound grill vent downside laptop bendable quite personally hate much overall wonderful product price range buy without second thought,76,55
27,4.0,best possible clone macbook budget tried install macos shared photo friend thought macbook pro metal build battery backup case hr display quality hz performs really well editing great connectivity thunderbolt port con would great come ryzen variant gb graphic card intel iris donot performs well high end game tried watch dog velcro binding charger wire little small problem binding wire overall good clone macbook come pocket but concern sale service let see happens upcoming day,141,75
28,5.0,the laptop extremely well built gb variant stock performance great price range great battery life also good instance started morning lasted meanwhile continuously using hz tab open chrome connected wifi bluetooth display brightness indoor gaming heavy gaming played valorant p low graphic giving around fps maybe varient give charging using take around hour speaker little bit low faced problem always use earphone headphone heating faced major heating issue tried video rendering valorant temperature never exceeded degc coming acer predator really good predator temperature around gaming editing but two day typing test tab key poped keyboard immediately contact amazon hopefully raised return this time wait gb,228,105
29,3.0,when setting and installing window update crashed two time rebooted after window hello sign feature disabled automatically fingerprint working fine first five day showed error message feature unavailable raised replacement request amazon thank supportive staff barely took min create replacement order thanks amazon bought notebook ultra varient apart software bug laptop really awesome flagship display build quality awesome too battery life decent working around hour k steal deal,113,68
30,5.0,bought product configuration gb ram ssd review first day use display display laptop excellent looking one good display help work without monitor connected battery with moderate use battery performance first day really good worked nearly hour out hr zoom call drained camera camera fine video call bad actually used mainly video conference online class etc speaker inbuilt speaker fine mentioned us felt effective kept surface keep lap performance performance wise much notable difference others specification others fingerprint keyboard mouse pad also impressive first instance take overall good worthy budget friendly product compared category thanks amazon too deliver quickly give option buy day stock,203,103
31,5.0,the laptop proven superior machine term quality performance despite competitive price compromise reduce price absence dedicated gpu card slotbut normal user like matter much give star best buy itself xiomi created ecosystem become part,73,34
32,4.0,bought th sep the laptop good definitely value money but extended warranty option buy amazon wrote amazon response contact case get response th but th option chat contact also closed return window closed th understand connection question return nor get response email cheating pay price curtailed benefit told upfront this leaf bad tase whole buying experience for first time unhappy amazon xiaomi,126,62
33,5.0,pehli baat laptop buy karna mahabharat hai not available anywhere ncr region gb just imagine available capital city luckily got amazon took day deliver since stock about laptop beauty hat xiaomi this ram upgradable never buy gb version,61,38
34,5.0,the laptop best price range pro performance build quality display battery trackpad con keyboard little flimsy little flex the sound problem resolved playing dts control panel,38,26
35,1.0,please buy product pro nice screen slim mac book feel gb superfast con build feel poor bottom the grill vent bottom poor bend even mild press speaker sound low speaker get blocked soft surface hear anything battery performance percent le claim website after one month the laptop nomore running battery get turned remove charger take service center feel ashamed buying poor product please buy better one,107,66
36,4.0,display crisp clear performance good drive good fingerprint awesome front cam average good build quality premiuim macbook feel but xiaomi lacked thing noticed there oem window disk included atleast attach link website driver available there support assist app help installation driver like dell dell assist every brand that speaker quality good loud unless turn dts processing app external graphic card supported thanks thunderbolt one option discrete graphic card civil mechanical engineer this handle casual gaming heavy gaming first choice,137,79
37,1.0,got laptop reading many review much research receiving package booted product first time there surprise waiting form screen bleeding called response quick satisfactory seller providing stock replacement purchased sale bank offer therefore wanted refund sadly seller updated stock yet still waiting order get replacement will edit review next update,101,49
38,5.0,everything great except inbuilt speaker produce le sound especially using bed flat surface like table okay somewhat corrected disabling inbuilt dts sound processing switching game mode recommended buy small bluetooth speaker along laptop highlight laptop screen refresh rate underrated feature scrolling joy that,76,43
39,1.0,the laptop initially heating issue gave service center heat sink replaced defective then started face backlight screen bleeding issue the engineer service center told laptop manufactured utter crap and facing issue bluetooth again gave service center wifi bluetooth card need replaced mean going brand new laptop worth already facing many issue huge waste money peace pretty sure unit defective everytime xiaomi replaces defective part give back mean imagine feeling get buying new laptop repair multiple time use the laptop spent time service center pretty sad situation,154,86
40,4.0,display awesome look hand feel awesome battery getting hr backup speaker the main drawback disappointed thats giving star performance awesome heating issue normal usage,36,24
41,3.0,pro good metallic body superb screen one hand screen open light weight slim design finger print work superb internal hardware specification good con touchpad worst losse fitting sound every single tap think issue unit window gesture work fine struggling using touchpad due surface smooth enough glide finger easily right left click work fine keyboard look good compromised build quality sturdiness missing while purchasing amazon able purchase extended warranty r for extra available store app oneassist third party warrenty provider charge double amazon purchasor,121,83
42,5.0,lot fun using laptop even though price tag k definitely worth buy sleek metallic full body display sight behold the computer fast responsive lightweight enough carry around easily the keyboard trackpad better but really great experience want hundred percent recommended someone looking buy premium grade laptop,85,46
43,5.0,open dts audio processing select game mode open graphic toggle increase volume band set,30,14
44,1.0,battery life poor,4,3
45,5.0,rating con low sound clear only audible quite place got heating experience little noticable charger low quality rd party look durable xiomi brand laptop little trust issue decents camera all port thunderbolt see description product backlit keyboard touchpad clicky sound can annoying fine mso window great build quality display specification price point battery life hr medium usage low heavy usage daylong battery performance respect price till find unexpected issue future provide update,121,72
46,4.0,superb build quality awesome screen main highlight laptop design feel premium battery backup also good got hour backup normal usage hour heavy usage overall decent product definitely,52,27
47,4.0,let first begin unboxing experience the notebook ultra placed inside larger normal amazon box bubble wrap kind stuffing this make smaller laptop box inside shake hit side transport big amazon packaging and delivery took way longer have the order dispatched day later onto laptop come w usb charger around g standard quality usb connector feel sturdy the laptop feel wxtremely light coming big laptop big bezel weighed kg the laptop weight distribution excellent screen opened single hand the problem build quality feel rubber foot sticky tend slide sloped surface next onto display this display absolutely gorgeous hdr look good and also hz make scrolling look smooth coding working docx excels suggest hz slightly battery though now onto battery easily charge min take time charge think reduce battery degradation time good thing also youtubers suggest charge laptop reason good now usage got entire battery till laptop shutdown native resolution hz refresh around hour screen time resolution hz easily get hour battery this normally use laptop stop battery degradation the camera quality better most mic good capture range noise cancellation anything pick background easily the headphone jack good also letsnyou select headset headphone not gaming laptop you get light good build gaming laptop the integrated graphic card good enough fps game like valorant csgo anything more the keyboard feel good use tactile shift key position seems weird adjust the macro key great versatile key though the trackpad insanely good really big really nice precision touch driver suport multi finger gesture handy use final verdict want absolutely gorgeous display light weight sturdy full aluminium build productivity task college entry level fps gaming good battery life pick you know people like copied macbook design personally love macbook design mind xiaomi copying honest,496,288
48,2.0,durability issue laptop started getting issue le month the delete key kind stuck coming outside had take service center taken week say issue delete backspace key probably mechanism reversed when asked replacement said done day purchase careful money somewhere else dont want buy laptop start going service center second month onwards,102,51
49,4.0,impressed spec paper yes delivers that everyone mentioned pro using two month think condition answer con pro know con keyboard trash key number came immediately purchase even fed keyboard using bluetooth keyboard instead when lock login again suddenly content web browser vanishes like long time loose control screen even good processor ssd happen rest happy experience,126,56
100,3.0,tell good thing youtube channel promoting good part overall laptop good rate star now star the edge open lid single hand super sharp one get easily scratched super con grip seriously forgot put grip laptop stick table slide like seesaw speaker poor camera shutter privacy yes camera poor quality even feel like p thermal high keyboard area charging type charge provide super cheap quality utter cost cutting definately one need spend year going last long idea sale service gimmick ran sheehan amazon prime video filled portion screen rest black after using day feel laptop gb bit highly priced somewhere k that come well established brand laptop world like dell atleast provided aggressive pricing conclude finally live con ahead buy serve purpose next yr,242,123
101,1.0,bought laptop st aug received promised time amazon used machine day everything look good suddenly last week found one key bracket character next working called amazon said contact since day period wow called support asked raise token raised ticket following day they keep saying part available requested replace since day response still waiting response think upgrade service made good machine useless cann support even manufacturing defect amazon using platform last year use buy almost everything need amazon time upset why tieup company proper support system high value item you think day replacement policy high value item platform otherwise loose trust customer,202,101
102,5.0,this best laptop one buy price range divide review pro con con soldered ram would possible end user upgrade need ram version lack card reader the sound quality speaker great loud other find con device past day usage pro amazing display this display way better realme notebook display for comparison also come srgb colour accurate most device price range including realme notebook come core series processor but one series processor released january the series processor better single core multi core performance also integrated iris graphic great this device lag day day usage good job heavy task video editing case editing video notice lag fan also kick xiaomi claim hr battery life real life usage web browsing online class hr get hr battery backup heavy task expect hr battery backup this laptop best built quality laptop price rang macbook pro pre installed office amazing backlit keyboard charging via thunderbolt fingerprint scanner wifi huge trackpad amazing this laptop everything cse student need and hope last long also planning buy extended warranty buy laptop com extended warranty since cost extended warranty website app rps year bought amazon buy extended warranty seperately charged rps year thank you,384,193
103,5.0,rating design build quality display performance value for money battery trackpad keyboard camera sound after big evolution smartphone market time turn table laptop market,49,24
104,4.0,going give spec list pro con obvious now the thing concerned price worthiness budget friendly maybe maybe not cost dad two month salary thanks early saving drowning case anyone falling bottom line middle class picked particular one obsessively searching evaluating price different laptop span last eleven month initially eye msi modern ryzen u solid spec k price range hesitated brand msi same said still choose msi ram gb though believe upgradeable never made clear and came window update model listed upgrade gave one reason opt another laptop might bought would dell inspiron ryzen u around k first month finally decided throw money increased priced thousand know priced now worth looking over ntsc display ram gb ram upgradeable notebook now surely would bought lenovo thinkpad e amd gen fully upgradeable starting around k you basically choose screen battery before buying forget look lenovo coupon they give discount find any use lengod think always work give instant discount rupee still bought notebook never bought product hate buggy loaded phone and worst previous year notebook bought laptop looked promising there far using last day feel like burned money nothing except battery meh keyboard worry delicate typist always typed cheap keyboard type monstrously without much care would using laptop mostly programming tech stack quite lightweight react node far proved much snappier old computer though planned try android next year other that use chrome which pretty easily eat ram pdf reading writing doc sometimes nothing much fancier like video editing gaming worth for probably much worthier given two year warranty fairly new laptop market bought laptop great risk should buy this wait wait month research keep eye open know long laptop last that concern rest good probably best find market right now would update review upcoming month find flaw anything specific,560,296
105,1.0,received today itself plugged turned felt like current touching confirm tested tester pin indeed found emitting current acc problem lie cheap quality third party adapter used ordered replacement update whether replacement working properly defective similarly even use device due problem possible hazard,70,42
106,1.0,going write pro con experience order when received laptop package good everything sealed when opened laptop powered heartbreaking see vertical line display thought resolution problem welcome screen continued desktop screen the line remained with like touch lower bezel line intensified though packing good belive must got damaged transit luckily able raise return request since found issue within min delivery the purpose compact light weight laptop portability make think made wrong choice screen get damaged traveling couple week then return window opinion better wait couple month get feedback user buying appreciate amazon quick delivery replacement return option but everyone lucky,180,99
107,1.0,touchpad working return period over using mouse,13,7
108,5.0,con good device productivity,7,4
109,1.0,dont buy dont buy extended warranty offered manufacturer purchase amazon and amazon fight want purchase amazon help support like warranty,40,20
110,1.0,amazon returning product inwant refund tha,11,6
111,1.0,the laptop good beware support brand extended warranty,14,8
112,4.0,notebook pro gb got hdfc offer initial impression design first impression wow unibody aluminium construction premium build design look like apple macbook small size port thunderbolt usb hdmi usb charging charging took around minute battery life tested yet display qhd display look good viewing angle good sound sound quality loudness somewhat low keyboard stage backlit keyboard key soft number pad precision touchpad wide enough performance decent performance intel th generation series overall look like macbook good display watching video adequate performance coding office work good buy,125,86
113,1.0,purchased first sale kept changing giving heavy electric shock,22,9
114,1.0,friend genuine review using laptop past day except battery life good especially display performance extraordinary per guide line battery life given noticed only noticed screw sound side laptop reach amazon mro team come check laptop,67,35
115,5.0,fully satisfied purchase feeling like really pro using lap best choice price gb ram,26,14
116,5.0,pro lovely display fast fingerprint reader office preinsttalled slim light weight look lovely etc mean almost everything good range con slight heating hour work,36,24
117,1.0,for day okay gave electric shock time today scared disappointed worried and getting connected customer service don buy extremely disappointed,35,20
118,5.0,guy from user experience excellent build quality light weight finger print sensor quick backlit keyboard awesome extremely superb brought gb variant programming it perfect window macbook edition,38,27
119,5.0,con low sound speaker mostly use earphone that problem pro after apple best track pad finger print sensor beat apple well mp camera far decent camera love chiclet keyboard backlit feature big fulfilling need battery backup best thing feel this used multiple tab browsing played online training video avg hour daily once charged morning leave connected wifi throughout day still show hour charge end day,117,65
120,5.0,just got laptop today based hour usage earlier using lenovo yoga touch degree rotation havnt used feature much needed sturdy laptop latest spec great display personal use backup office laptop dy suddenly main purpose entertainment personal document work photo editing photography enthusiast display important update there way calibrate display built laptop itself extent awesome able tweak display fairly close printing color now this department still feel bit short expectation srgb resolution sure crisp bright way better mainstream laptop display color accurate srgb mean display color space claim deliver accurate display there lot difference pic edited computer print take srgb space printer even previous year old lenovo full ip display would test update replacement proper color accurate display hand color feel punchy watching movie etc big deal display task good enough sharp much brighter laptop market disappointed impressed based usage please bear mind special requirement people would amazed display quality amazing day day usage just critical work price dont think anything come close see update above far thing performance boot time finger print typing keyboard look feel great seems sturdy good long time this laptop also gamers feel performance heavy game task little short people need video editing spend version better assemble desktop mobility absolutely necessity mine gb good enough battery life good hour light work overall price considering metal build performance offer great buy just see use case take sometime review requirement consider day day laptop dont see anyone would find shortcoming laptop it fine department,473,246
121,5.0,all pro one con the speaker brand providing value money ultrabook plz buy gb ram non upgradable buy notebook pro inch primary requirment work school college otherwise buy notebook ultra inch wanna spend k confused choose notebook pro gb notebook ultra gb gb but also choose notebook ultra gb paying k,81,51
122,1.0,got laptop th september got replaced th september video shall tell reality xiaomi made almost month able use straight day,47,20
123,1.0,the laptop good display fantastic compared lenovo issue outer package fully opened,21,12
124,1.0,when ever see video screen becoming black second second happening frequently,19,11
125,1.0,this worst laptop using continually min device restarts automatically close open application,17,12
126,1.0,the piece defective waiting laptop long got,20,7
127,4.0,this day review about this product fulfills requirement you guy before buying plzz see honest review and plz check time about the product display battery speaker build quality performance backlit,43,30
128,5.0,happy product,4,2
129,5.0,like display panel qhd ip panel phenomenal price point form factor slim sturdy along sleek look responsive fingerprint sensor power button ram combo price point thunderbolt port intel slightly better processor offered others heating issue work great team zoom promised upgrade window lifetime office student edition miui smooth integration phone nice big responsive track pad backlit keyboard programable macro key keyboad need improvement numpad due size constraint battery last around hr hr charger could better quality third party w charging brick job type socket card slot amd ryzen variant available yet speaker could better privacy shutter camera would awesome but said heading best value product student office work sum jack trade amazon delivery experience good,211,115
130,5.0,this excellent laptop k after discount writing review set expectation right here need watch out sub par volume level built speaker video conferencing but want enjoy movie etc prepared use heaphones external speaker keyboard better feedback feel key press could better macbook thinkpad user experience relative keypad previously used macbook thinkpads may even notice thing odd xiaomi keypad track pad better again experience relative macbooks thinkpads some time failed register click tap need wait update see driver issue hardware issue ram upgraded but storage upgraded ram enough day day work like web browsing multiple window using word excel etc video conferencing regular activity simultaneously ram really intend use fat application like video editing etc daily basis for would certainly purchased gb model stock but intended use the ssd partitioned gb gb remember club the two pratitions otherwise end destroying ssd year ssd max write limitation rewriting system partition quickly destroy partition thereby render ssd useless make sure use entire one single partition extended life ssd documentation xiaomi laptop all established manufacturer like dell lenovo etc plethora documentation provided official website but xiaomi little documentation product charge laptop outlet properly grounded also use third party prong charger there seems deficiency laptop regard power supply management you may end frying laptop long run careful charge laptop may issue charger will update trying lenovo charger here best product excellent display can work full day stressing eye this compelling reason pick laptop stay focused eye strained the text super smooth crystal clear read distinguishes laptop others segment two type thunderbolt usb port both used charging supplied w charger also simple connect external monitor there regular size hdmi port well charging support can use modern day type charging which support charging finger print scanner worked flawless clean uncluttered look feel light weight right form factor easy travel with the aluminium build quality sturdy better expectation laptop very confident last long without losing appeal nvme ssd big plus addition thunderbolt port using external ssd would make seamless give instant access window office activation straight forward worked without glitch,626,342
131,1.0,bought variant delivered today itself device hang randomly and completely conked refusing start despite faulty product delivered today itself help replacement amazon god save this,47,25
132,4.0,today got product delivered happy use good battery backup premium look thing missing good quality speaker,30,16
133,5.0,great laptop great battery display processor performing awesome ram enough value money,25,12
134,5.0,purchased notebook pro normal student use non gaming best deal price point using hdfc discount gb ram ssd intel th gen using day review based that look feel premium metal body robust colour classy switching inch inch yes small that best part make comfortable work good display small bezel camera good audio also surprisingly good review youtube giving bad review loudness maybe fixed driver fast boottime around second fingerprint sensor trackpad work like charm you want best price however many may skeptical service thought anyway nothing happens laptop one year warranty period get repair local shop even provide much support worry hope help,218,103
135,5.0,price laptop model immensely competitive brand achieve cost specification using window long quite compatible therefore wanted window supporting laptop this one caught eye disappoint good battery life light weight compact metallic body great screen resolution display great screen brightness backlit keyboard window would better window provided office too but even without laptop one best according cost available specification,100,58
136,5.0,looking non touch screen non heavy gaming intel cpu compact laptop fine amd cpu alternative otherwise really far behaved exactly window laptop complaint build quality better third office laptop twice price only missing thing other touch screen camera face unlock work rest all including properly smoothen metal edge proper rubber grip bottm proper quality usb charger cable bright vibrant screen proper high resolution side thin bazels one time office license not make pay every year good expected,121,77
